query_norm,query_raw,brand,click_brand,label_id,label_reason,confidence,sample_weight,n_clicks,n_brands,brand_in_query,has_alias,is_category_only,tier,runner_up,weight_margin,pred,pred_reject
нож для мясорубки,нож для мясорубки,NO_BRAND,Topperr,65,category_only,0.5714285714285715,1.0,3,2,False,False,True,special,Zumman,0.14285714285714285,UNKNOWN,UNKNOWN
кондиционер сплит система инверторная 18,кондиционер сплит система инверторная 18,UNKNOWN,ecoclima,66,ambiguous_clicks,0.3380281690140845,0.9,4,4,False,False,False,special,Haier,0.04225352112676054,NO_BRAND,NO_BRAND
портативная зарядная станция ecoflow,портативная зарядная станция EcoFlow,UNKNOWN,EcoFlow,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND,NO_BRAND
de dietrich варочная панель,DE DIETRICH варочная панель,UNKNOWN,De Dietrich,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND,NO_BRAND
сплит система инверторная tcl,сплит система инверторная tcl,TCL,TCL,56,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND,NO_BRAND
вентилятор напольный с пультом,вентилятор напольный с пультом,UNKNOWN,Ami,66,ambiguous_clicks,0.42177763554050796,0.9,119,21,False,False,False,special,Primera,0.2599767883999651,NO_BRAND,NO_BRAND
стиральная машинка узкая gorenje,стиральная машинка узкая gorenje,NO_BRAND,Gorenje,65,category_only,1.0,1.0,2,1,True,False,True,special,,1.0,Gorenje,Gorenje
плиты gefest комбинированные,плиты gefest комбинированные,NO_BRAND,Gefest,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Gefest,Gefest
весы picooc,Весы Picooc,UNKNOWN,Picooc,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND,NO_BRAND
встраиваемый электрический духовой шкаф krona,встраиваемый электрический духовой шкаф krona,Krona,Krona,36,brand_in_query,1.0,1.0,2,1,True,False,False,high,,1.0,NO_BRAND,NO_BRAND
капсульные кофеварки maunfeld,капсульные кофеварки maunfeld,Maunfeld,Maunfeld,41,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND,NO_BRAND
телевизоры яндекс алиса,телевизоры яндекс алиса,NO_BRAND,Яндекс,65,category_only,1.0,1.0,2,1,True,False,True,special,,1.0,Яндекс,Яндекс
электронная книга digma k2,Электронная книга Digma K2,UNKNOWN,Digma,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND,NO_BRAND
портативная музыкальная мини система jbl,портативная музыкальная мини система jbl,JBL,JBL,32,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND,NO_BRAND
мультипекарь hi,мультипекарь hi,Hi,Hi,28,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND,NO_BRAND
авто холодильники,авто холодильники,UNKNOWN,EZ Coolers,66,ambiguous_clicks,0.4191682587871967,0.9,7,6,False,False,False,special,Brayer,0.20209898191525555,NO_BRAND,NO_BRAND
мантоварка,мантоварка,UNKNOWN,Добрыня,66,ambiguous_clicks,0.39948319842750973,0.9,14,6,False,False,False,special,Maestro,0.15812876604422257,NO_BRAND,NO_BRAND
фитнес браслет google,фитнес браслет google,NO_BRAND,Google,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,UNKNOWN,UNKNOWN
кабель tfn,кабель TFN,UNKNOWN,TFN,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND,NO_BRAND
встраиваемые газовые панели midea,встраиваемые газовые панели midea,Midea,Midea,42,brand_in_query,1.0,1.0,2,1,True,False,False,high,,1.0,NO_BRAND,NO_BRAND
стиральная машина candy,стиральная машина candy,NO_BRAND,Candy,65,category_only,1.0,1.0,44,1,True,False,True,special,,1.0,Candy,Candy
steam deck,steam deck,NO_BRAND,Valve,65,category_only,0.9930212135462906,1.0,46,3,False,False,True,special,GameSpot,0.9889360702563144,UNKNOWN,UNKNOWN
кондиционер сплит система инвертор lg,кондиционер сплит система инвертор lg,LG,LG,38,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND,NO_BRAND
вытяжка graude,вытяжка graude,UNKNOWN,Graude,66,ood_brand_surface,1.0,0.9,2,1,True,False,False,special,,1.0,NO_BRAND,NO_BRAND
кусторезы аккумуляторные,кусторезы аккумуляторные,UNKNOWN,нет бренда,66,ambiguous_clicks,0.4067841661811363,0.9,9,5,False,False,False,special,Huter,0.06490357123012032,NO_BRAND,NO_BRAND
электрические чайники philips circle,электрические чайники Philips circle,Philips,Philips,46,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND,NO_BRAND
кресло игровое thunderobot,кресло игровое thunderobot,NO_BRAND,Thunderobot,65,category_only,1.0,1.0,2,1,True,False,True,special,,1.0,Thunderobot,Thunderobot
печка,печка,UNKNOWN,Oursson,66,ambiguous_clicks,0.3466996856843509,0.9,6,6,False,False,False,special,Horizont,0.13867987427374032,NO_BRAND,NO_BRAND
фильтр graude,Фильтр graude,UNKNOWN,Graude,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND,NO_BRAND
встраиваемые посудомоечные машины gorenje,встраиваемые посудомоечные машины gorenje,NO_BRAND,Gorenje,65,category_only,1.0,1.0,2,1,True,False,True,special,,1.0,Gorenje,NO_BRAND
встраиваемые холодильники без морозильной камеры,встраиваемые холодильники без морозильной камеры,UNKNOWN,Beraum,66,ambiguous_clicks,0.4635553224960671,0.9,5,3,False,False,False,special,Ascoli,0.1854221289984268,NO_BRAND,NO_BRAND
антивирус,антивирус,NO_BRAND,Kaspersky,65,category_only,0.5236907730673317,1.0,8,3,False,False,True,special,Dr.Web,0.12219451371571076,UNKNOWN,UNKNOWN
колонка яндекс станция,колонка яндекс станция,NO_BRAND,Яндекс,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Яндекс,Яндекс
стиральная машина beko,стиральная машина beko,NO_BRAND,Beko,65,category_only,0.9692371966722654,1.0,56,2,True,False,True,special,Haier,0.9384743933445308,Beko,Beko
стиральная машинка стиральная машинка candy aqua 114 д-2,стиральная машинка стиральная машинка candy aqua 114д-2,Candy,Candy,12,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND,NO_BRAND
восстановленный телевизор tcl,восстановленный телевизор tcl,NO_BRAND,TCL,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,TCL,TCL
одежда,одежда,NO_BRAND,FORESTXS,65,category_only,0.32302726190069153,1.0,8,7,False,False,True,special,ZaslonArmy,0.1076757539668972,UNKNOWN,UNKNOWN
беспроводная зарядка deppa,беспроводная зарядка deppa,NO_BRAND,Deppa,65,category_only,1.0,1.0,4,1,True,False,True,special,,1.0,Deppa,Deppa
удлинитель legrand,удлинитель legrand,UNKNOWN,Legrand,66,ood_brand_surface,1.0,0.9,6,1,True,False,False,special,,1.0,NO_BRAND,NO_BRAND
микроволновая jvc,микроволновая JVC,UNKNOWN,JVC,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND,NO_BRAND
машинка для стрижки волос braun,машинка для стрижки волос braun,UNKNOWN,Braun,66,low_conf_with_evidence,0.5,0.9,2,2,True,False,False,special,Brayer,0.0,Braun,Braun
philips avent,philips avent,UNKNOWN,Philips Avent,66,ood_brand_surface,1.0,0.9,2,1,True,False,False,special,,1.0,Philips,Philips
электрошвабра,электрошвабра,UNKNOWN,Polaris,66,ambiguous_clicks,0.3840706590648369,0.9,8,5,False,False,False,special,VOXLEN,0.12438652026531648,NO_BRAND,NO_BRAND
стиральная машинка centek,стиральная машинка centek,NO_BRAND,Centek,65,category_only,1.0,1.0,2,1,True,False,True,special,,1.0,Centek,NO_BRAND
стиральная машина узкая candy,стиральная машина узкая candy,NO_BRAND,Candy,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Candy,Candy
панель индукционная lg,панель индукционная lg,NO_BRAND,Gorenje,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0,LG,NO_BRAND
электро самокат kugoo макс пид,электро самокат kugoo макс пид,UNKNOWN,Kugoo,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND,NO_BRAND
вакуматор,Вакуматор,UNKNOWN,Spectra Line,66,ambiguous_clicks,0.19805315177757746,0.9,40,18,False,False,False,special,STONBERG,0.02616555866980192,NO_BRAND,NO_BRAND
паровой очиститель karcher,паровой очиститель karcher,NO_BRAND,Karcher,65,category_only,1.0,1.0,2,1,True,False,True,special,,1.0,Karcher,Karcher
колонка большая,колонка большая,UNKNOWN,MEG,66,ambiguous_clicks,0.39796729594844715,0.9,14,7,False,False,False,special,WJB,0.16730655485663673,NO_BRAND,NO_BRAND
газовые плиты gefest ретро,газовые плиты Gefest ретро,Gefest,Gefest,22,brand_in_query,1.0,1.0,2,1,True,False,False,high,,1.0,NO_BRAND,NO_BRAND
подставка для телефона,подставка для телефона,UNKNOWN,Samsung,66,ambiguous_clicks,0.4391045710707577,0.9,5,5,False,False,False,special,Magssory,0.14636819035691925,NO_BRAND,NO_BRAND
кухонные ножи tefal,кухонные ножи tefal,NO_BRAND,Tefal,65,category_only,1.0,1.0,2,1,True,False,True,special,,1.0,Tefal,Tefal
беспроводные колонки jbl,Беспроводные колонки JBL,NO_BRAND,JBL,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,JBL,JBL
электрические зубные щетки philips,электрические зубные щетки philips,Philips,Philips,46,brand_in_query,0.9247615208921135,0.9247615208921135,13,2,True,False,False,high,Moonstar,0.8495230417842268,NO_BRAND,NO_BRAND
стиральная машина узкая lg,стиральная машина узкая lg,NO_BRAND,LG,65,category_only,1.0,1.0,3,1,True,False,True,special,,1.0,LG,LG
водонагреватель газовый thermex,водонагреватель газовый thermex,NO_BRAND,Thermex,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,UNKNOWN,UNKNOWN
сушильная машина hotpoint tdh 99 v b,Сушильная машина Hotpoint TDH 99V B,UNKNOWN,HotPoint,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND,NO_BRAND
стиральная машина indesit,стиральная машина indesit,NO_BRAND,Indesit,65,category_only,1.0,1.0,33,1,True,False,True,special,,1.0,Indesit,Indesit
фен щетка polaris,фен щетка polaris,NO_BRAND,Polaris,65,category_only,1.0,1.0,3,1,True,False,True,special,,1.0,Polaris,NO_BRAND
стиральная машинка kuppersberg,стиральная машинка kuppersberg,NO_BRAND,Kuppersberg,65,category_only,1.0,1.0,7,1,True,False,True,special,,1.0,Kuppersberg,Kuppersberg
тонометр автоматический,тонометр автоматический,UNKNOWN,OMRON,66,ambiguous_clicks,0.4542857142857143,0.9,8,4,False,False,False,special,WJB,0.19714285714285712,NO_BRAND,NO_BRAND
пароочиститель karcher ручной,пароочиститель karcher ручной,NO_BRAND,Karcher,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Karcher,Karcher
сетевой фильтр deppa,сетевой фильтр deppa,NO_BRAND,Deppa,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Deppa,Deppa
сушильная машина midea,сушильная машина midea,NO_BRAND,Midea,65,category_only,1.0,1.0,9,1,True,False,True,special,,1.0,Midea,Midea
телефон раскладушка,телефон раскладушка,UNKNOWN,4MOBILE,66,ambiguous_clicks,0.3448018380241241,0.9,4,3,False,False,False,special,Olmio,0.015249856404365311,NO_BRAND,NO_BRAND
dyson беспроводной вертикальный пылесос v8 advanced,"Dyson Беспроводной вертикальный пылесос V8 Advanced,",Dyson,Dyson,20,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND,NO_BRAND
кофеварка электрическая gorenje,кофеварка электрическая gorenje,NO_BRAND,Gorenje,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Gorenje,Gorenje
зарядка на айфон,зарядка на айфон,UNKNOWN,нет бренда,66,low_conf_with_evidence,0.31390134529147984,0.9,6,4,False,True,False,special,Wireless,0.0,Apple,Apple
встраиваемая варочная панель электрическая gorenje,встраиваемая варочная панель электрическая gorenje,Gorenje,Gorenje,23,brand_in_query,1.0,1.0,5,1,True,False,False,high,,1.0,NO_BRAND,NO_BRAND
встраиваемая микроволновая печь 45 см,встраиваемая микроволновая печь 45см,UNKNOWN,Maunfeld,66,ambiguous_clicks,0.4054054054054054,0.9,3,3,False,False,False,special,GARTZ,0.08108108108108106,NO_BRAND,NO_BRAND
инверторный кондиционер сплит система lg,инверторный кондиционер сплит система lg,LG,LG,38,brand_in_query,1.0,1.0,4,1,True,False,False,high,,1.0,NO_BRAND,NO_BRAND
стерилизаторы бутылочек,стерилизаторы бутылочек,UNKNOWN,Maman,66,ambiguous_clicks,0.499320652173913,0.9,11,5,False,False,False,special,Kitfort,0.14266304347826086,NO_BRAND,NO_BRAND
dreame trouver j30,dreame trouver j30,UNKNOWN,Dreame Trouver,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,Dreame,Dreame
смарт приставка sber,смарт приставка sber,NO_BRAND,Sber,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Sber,NO_BRAND
korting сушильная,Korting сушильная,UNKNOWN,Korting,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND,NO_BRAND
polar,Polar,UNKNOWN,Polar,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,Polaris,Polaris
кофеварка капельная polaris,кофеварка капельная Polaris,NO_BRAND,Blackton,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0,Polaris,NO_BRAND
варочная панель индукционная kuppersberg,варочная панель индукционная kuppersberg,NO_BRAND,Kuppersberg,65,category_only,1.0,1.0,12,1,True,False,True,special,,1.0,Kuppersberg,NO_BRAND
встраиваемый электрический духовой шкаф 45,встраиваемый электрический духовой шкаф 45,UNKNOWN,Krona,66,ambiguous_clicks,0.40917305812434923,0.9,25,10,False,False,False,special,LEX,0.26977952307872227,NO_BRAND,NO_BRAND
sony cyber shot dsc wx150 10 x optical zoom 18.2 mp,Sony Cyber-shot DSC-WX150 10X Optical Zoom 18.2MP,Sony,Sony,55,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,UNKNOWN,UNKNOWN
apple mac ноутбук,apple mac ноутбук,NO_BRAND,Apple,65,category_only,0.9902939425487063,1.0,144,2,True,False,True,special,Krutoff,0.9805878850974126,Apple,Apple
встраиваемая посудомоечная машина midea,Встраиваемая посудомоечная машина Midea,NO_BRAND,Midea,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Midea,Midea
электрические чайники хайер,электрические чайники хайер,Haier,Haier,27,alias_hint,1.0,1.0,1,1,True,True,False,high,,1.0,NO_BRAND,NO_BRAND
наушники беспроводные sony,наушники беспроводные sony,NO_BRAND,Sony,65,category_only,1.0,1.0,5,1,True,False,True,special,,1.0,Sony,Sony
духовой шкаф hisense,духовой шкаф hisense,NO_BRAND,Hisense,65,category_only,1.0,1.0,11,1,True,False,True,special,,1.0,Hisense,Hisense
внешний жесткий диск ssd 1 тб,внешний жесткий диск ssd 1тб,UNKNOWN,ADATA,66,ambiguous_clicks,0.3625235404896422,0.9,5,4,False,False,False,special,Seagate,0.031073446327683628,NO_BRAND,NO_BRAND
встраиваемый электрический духовой шкаф hotpoint,встраиваемый электрический духовой шкаф hotpoint,UNKNOWN,Hotpoint,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND,NO_BRAND
инверторный кондиционер сплит система 7,инверторный кондиционер сплит система 7,UNKNOWN,Rapid,66,ambiguous_clicks,0.36856393543932076,0.9,15,11,False,False,False,special,Atlas,0.16953941030208752,NO_BRAND,NO_BRAND
встраиваемый духовой шкаф gorenje,встраиваемый духовой шкаф gorenje,NO_BRAND,Gorenje,65,category_only,1.0,1.0,2,1,True,False,True,special,,1.0,Gorenje,Gorenje
стиральная машина gorenje,стиральная машина gorenje,NO_BRAND,Gorenje,65,category_only,1.0,1.0,35,1,True,False,True,special,,1.0,Gorenje,Gorenje
наушники jbl детские,наушники jbl детские,NO_BRAND,JBL,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,JBL,NO_BRAND
смартфон iqoo neo,Смартфон iQOO Neo,NO_BRAND,iQOO,65,category_only,1.0,1.0,2,1,True,False,True,special,,1.0,UNKNOWN,UNKNOWN
автомобильные колонки 13 см,автомобильные колонки 13 см,UNKNOWN,DEAF BONCE,66,ambiguous_clicks,0.3786508496738219,0.9,8,5,False,False,False,special,Edge,0.13059441636149155,NO_BRAND,NO_BRAND
рожковая кофеварка delonghi,рожковая кофеварка delonghi,NO_BRAND,DeLonghi,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,DeLonghi,NO_BRAND
оверлок,оверлок,NO_BRAND,Janome,65,category_only,0.423491039586836,1.0,12,6,False,False,True,special,Necchi,0.15659891465718048,UNKNOWN,UNKNOWN
духовой шкаф kuppersberg тонированный,духовой шкаф kuppersberg тонированный,Kuppersberg,Kuppersberg,37,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND,NO_BRAND
кабель usb type c hdmi,кабель usb type c hdmi,UNKNOWN,Rexant,66,ambiguous_clicks,0.375,0.9,3,3,False,False,False,special,Netac,0.0,NO_BRAND,NO_BRAND
плита комбинированная gorenje,Плита комбинированная Gorenje,NO_BRAND,Gorenje,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Gorenje,Gorenje
триммер садовый аккумуляторный для травы,триммер садовый аккумуляторный для травы,UNKNOWN,Krotof,66,ambiguous_clicks,0.16283975605591536,0.9,124,20,False,False,False,special,Huter,0.031986821717829954,NO_BRAND,NO_BRAND
bosch диск терка,bosch диск терка,NO_BRAND,Bosch,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Bosch,Bosch
электрическая плита с духовкой,электрическая плита с духовкой,UNKNOWN,Gorenje,66,ambiguous_clicks,0.4082665607479886,0.9,295,13,False,False,False,special,Flama,0.036858134860670376,NO_BRAND,NO_BRAND
накопительные водонагреватели thermex,накопительные водонагреватели thermex,NO_BRAND,Thermex,65,category_only,1.0,1.0,5,1,True,False,True,special,,1.0,UNKNOWN,UNKNOWN
кабель lightning baseus,кабель lightning baseus,NO_BRAND,Baseus,65,category_only,1.0,1.0,2,1,True,False,True,special,,1.0,Baseus,Baseus
посудомоечная машина hisense,посудомоечная машина hisense,NO_BRAND,Hisense,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Hisense,Hisense
dreame моющий пылесос,Dreame моющий пылесос,NO_BRAND,Dreame,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Dreame,Dreame
беспроводной утюг с отпариванием,беспроводной утюг с отпариванием,UNKNOWN,Polaris,66,ambiguous_clicks,0.41160457338414874,0.9,6,4,False,False,False,special,Garlyn,0.05460060667340751,NO_BRAND,NO_BRAND
холодильники ardo,холодильники ardo,UNKNOWN,Ardo,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND,NO_BRAND
робот-пылесос okami r120,Робот-пылесос Okami R120,UNKNOWN,Okami,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND,NO_BRAND
смартфоны apple мини,смартфоны apple мини,NO_BRAND,Apple,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Apple,Apple
дрели шуруповерты аккумуляторные,дрели шуруповерты аккумуляторные,UNKNOWN,Zerten,66,ambiguous_clicks,0.2794036219262045,0.9,10,10,False,False,False,special,Rokodil,0.0,NO_BRAND,NO_BRAND
наушники беспроводные philips,наушники беспроводные philips,NO_BRAND,Philips,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Philips,Philips
посудомоечные машины electrolux,посудомоечные машины electrolux,NO_BRAND,Electrolux,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Electrolux,NO_BRAND
weissgauff wmd 6148 dc inverter steam beko b3dfr57h23 w,Weissgauff WMD 6148 DC Inverter Steam Beko B3DFR57H23W,Beko,Beko,8,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,UNKNOWN,UNKNOWN
стиральная машина hisense wfqp7012 vm с фронтальной загрузкой 7 кг 1200 об мин с паром инверторная,"Стиральная машина Hisense WFQP7012VM, с фронтальной загрузкой, 7кг, 1200об/мин, с паром, инверторная",Hisense,Hisense,29,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,UNKNOWN,UNKNOWN
посуда,посуда,NO_BRAND,Tefal,65,category_only,0.2900477642191853,1.0,74,30,False,False,True,special,Hi,0.03651519691107835,UNKNOWN,UNKNOWN
системный блок treidcomputers,Системный блок treidcomputers,NO_BRAND,Treidcomputers,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,UNKNOWN,UNKNOWN
игровая консоль sony playstation 4,игровая консоль sony playstation 4,PlayStation,PlayStation,47,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,Sony,Sony
dreame моющий пылесос вертикальный mova x40 pro моющий пылесос 21000 pa 70 минут максимальное время работы,"dreame моющий пылесос вертикальный mova x40 pro моющий пылесос 21000Pa, 70 минут максимальное время работы",Dreame,Dreame,19,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND,NO_BRAND
системный блок texnom r3,Системный блок TEXNOM R3,UNKNOWN,TEXNOM,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND,NO_BRAND
посудомоечная машина beko,посудомоечная машина beko,NO_BRAND,Beko,65,category_only,1.0,1.0,3,1,True,False,True,special,,1.0,Beko,Beko
донный клапан teymi,донный клапан teymi,UNKNOWN,Teymi,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND,NO_BRAND
кулеры для воды напольные,кулеры для воды напольные,UNKNOWN,Aqua Work,66,ambiguous_clicks,0.32462416589359616,0.9,67,12,False,False,False,special,AEL,0.06238279558231791,NO_BRAND,NO_BRAND
умная розетка яндекс,умная розетка яндекс,NO_BRAND,Яндекс,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Яндекс,Яндекс
набор кастрюль для индукционнойбольшие наборы плиты tefal,набор кастрюль для индукционнойбольшие наборы плиты tefal,Tefal,Tefal,59,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND,NO_BRAND
напольный пылесос philips с контейнером,напольный пылесос philips с контейнером,Philips,Philips,46,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND,NO_BRAND
встраиваемая вытяжка krona,встраиваемая вытяжка krona,NO_BRAND,Krona,65,category_only,1.0,1.0,2,1,True,False,True,special,,1.0,Krona,Krona
накладные наушники jbl,Накладные наушники jbl,NO_BRAND,JBL,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,JBL,JBL
пылесос ручной tefal,пылесос ручной tefal,NO_BRAND,Tefal,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Tefal,Tefal
беспроводной пылесос tefal,беспроводной пылесос tefal,NO_BRAND,Tefal,65,category_only,1.0,1.0,3,1,True,False,True,special,,1.0,Tefal,Tefal
gorenje микроволновая печь,Gorenje микроволновая печь,NO_BRAND,Gorenje,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Gorenje,Gorenje
роботы пылесосы с влажной уборкой,роботы пылесосы с влажной уборкой,UNKNOWN,Haier,66,ambiguous_clicks,0.2568679998688858,0.9,129,21,False,False,False,special,iBoto,0.07641396338578182,NO_BRAND,NO_BRAND
power bank baseus,power bank baseus,NO_BRAND,Baseus,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Baseus,Baseus
робот мойщик окон hobot 388,робот мойщик окон hobot 388,UNKNOWN,Hobot,66,ood_brand_surface,1.0,0.9,2,1,True,False,False,special,,1.0,NO_BRAND,NO_BRAND
кофе в зерна,кофе в зёрна,UNKNOWN,Coffesso,66,ambiguous_clicks,0.45044501840012346,0.9,5,4,False,False,False,special,Egoiste,0.13339246548960354,NO_BRAND,NO_BRAND
кофеварка рожковая delonghi,кофеварка рожковая delonghi,NO_BRAND,DeLonghi,65,category_only,1.0,1.0,14,1,True,False,True,special,,1.0,DeLonghi,NO_BRAND
телевизор саммсунг,телевизор саммсунг,NO_BRAND,Samsung,65,category_only,1.0,1.0,11,1,False,False,True,special,,1.0,Samsung,Samsung
