query_norm,query_raw,brand,click_brand,label_id,label_reason,confidence,sample_weight,n_clicks,n_brands,brand_in_query,has_alias,is_category_only,tier,runner_up,weight_margin,pred
яндекс дропс наушники,Яндекс дропс наушники,UNKNOWN,Яндекс,66,low_conf_with_evidence,0.5,0.9,2,2,True,False,False,special,beets,0.0,Яндекс
робот пылесос midea,робот пылесос midea,NO_BRAND,Midea,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Midea
игровая консоль sony playstation 4,игровая консоль sony playstation 4,PlayStation,PlayStation,47,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,Sony
выпрямители волос утюжок для волос dyson,выпрямители волос утюжок для волос dyson,Dyson,Dyson,20,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND
msi видеокарта geforce rtx 5060 8 гб rtx 5060 8 g shadow 2 x oc,MSI Видеокарта GeForce RTX 5060 8 ГБ (RTX 5060 8G SHADOW 2X OC),MSI,MSI,40,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,UNKNOWN
холодильники двухкамерные grundig no frost,холодильники двухкамерные grundig no frost,Grundig,Grundig,24,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND
дрели шуруповерты аккумуляторные,дрели шуруповерты аккумуляторные,UNKNOWN,Zerten,66,ambiguous_clicks,0.2794036219262045,0.9,10,10,False,False,False,special,Rokodil,0.0,NO_BRAND
чайник термопот 3 л,чайник термопот 3л,UNKNOWN,Tesler,66,ambiguous_clicks,0.3333333333333333,0.9,3,3,False,False,False,special,Deerma,0.0,NO_BRAND
мясорубка tefal,мясорубка tefal,UNKNOWN,Tefal,66,low_conf_with_evidence,0.5,0.9,2,2,True,False,False,special,Moulinex,0.0,Tefal
утюги марки яромир,утюги марки яромир,UNKNOWN,Яромир,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND
keephone,Keephone,UNKNOWN,Keephone,66,ood_brand_surface,1.0,0.9,2,1,True,False,False,special,,1.0,Apple
электрическая плита gorenje,Электрическая плита Gorenje,NO_BRAND,Gorenje,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Gorenje
пылесос delta,пылесос delta,UNKNOWN,Delta,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND
наушники игровые logitech,наушники игровые logitech,NO_BRAND,Logitech,65,category_only,1.0,1.0,6,1,True,False,True,special,,1.0,Logitech
духовой шкаф hisense,духовой шкаф hisense,NO_BRAND,Hisense,65,category_only,1.0,1.0,11,1,True,False,True,special,,1.0,Hisense
встраиваемая вытяжка midea,встраиваемая вытяжка midea,NO_BRAND,Midea,65,category_only,1.0,1.0,3,1,True,False,True,special,,1.0,Midea
электрический духовой шкаф monsher moe 6163 noir,Электрический духовой шкаф Monsher MOE 6163 Noir,UNKNOWN,Monsher,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND
холодильники двухкамерные gorenje инверторный,холодильники двухкамерные gorenje инверторный,NO_BRAND,Gorenje,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Gorenje
узкие стиральные машины bosch,узкие стиральные машины Bosch,Bosch,Bosch,9,brand_in_query,0.8,0.8,2,2,True,False,False,high,Hisense,0.6,NO_BRAND
встраиваемая микроволновая печь свч bosch,встраиваемая микроволновая печь свч bosch,Bosch,Bosch,9,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND
узкие стиральные машины beko,узкие стиральные машины beko,Beko,Beko,8,brand_in_query,1.0,1.0,5,1,True,False,False,high,,1.0,NO_BRAND
музыкальный центр micro grundig,музыкальный центр Micro Grundig,Grundig,Grundig,24,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND
умная камера яндекс,умная камера яндекс,NO_BRAND,Яндекс,65,category_only,1.0,1.0,2,1,True,False,True,special,,1.0,Яндекс
whoop фитнес-браслет 5.0 mg светло-серый,"Whoop Фитнес-браслет 5.0 MG, светло-серый",UNKNOWN,Whoop,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND
газовая плита darina,газовая плита darina,NO_BRAND,Darina,65,category_only,0.9485609308022045,1.0,7,2,True,False,True,special,DARINA,0.897121861604409,UNKNOWN
лодочные моторы,лодочные моторы,UNKNOWN,HDX,66,ambiguous_clicks,0.4618026253550439,0.9,12,6,False,False,False,special,MARLIN,0.1478726633417,NO_BRAND
лампочка эра,лампочка эра,UNKNOWN,ЭРА,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND
мобильный кондиционер hisense,мобильный кондиционер hisense,NO_BRAND,Hisense,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Hisense
узкие стиральные машины hisense,узкие стиральные машины hisense,Hisense,Hisense,29,brand_in_query,1.0,1.0,5,1,True,False,False,high,,1.0,NO_BRAND
тепломаш,тепломаш,UNKNOWN,Тепломаш,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND
стиральная машина beko wspe6h612 a с фронтальной загрузкой 6.5 кг 1200 об мин с паром инверторная,"Стиральная машина Beko WSPE6H612A, с фронтальной загрузкой, 6.5кг, 1200об/мин, с паром, инверторная",Beko,Beko,8,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,UNKNOWN
игры для sony playstation 4,Игры для sony PlayStation 4,PlayStation,PlayStation,47,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,Sony
magssory беспроводное зарядное устройство,magssory беспроводное зарядное устройство,UNKNOWN,Magssory,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND
встроенный духовой шкаф bosch очистка легкой эмали,Встроенный духовой шкаф bosch очистка лёгкой эмали,Bosch,Bosch,9,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND
очиститель для кофемашин,очиститель для кофемашин,UNKNOWN,Italco,66,ambiguous_clicks,0.4480150382670187,0.9,5,5,False,False,False,special,BIORETTO,0.25600859329543924,NO_BRAND
посуда,посуда,NO_BRAND,Tefal,65,category_only,0.2900477642191853,1.0,74,30,False,False,True,special,Hi,0.03651519691107835,UNKNOWN
варочная панель электрическая gartz hes421 b,Варочная панель электрическая GARTZ HES421B,UNKNOWN,GARTZ,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND
электрические чайники стеклянный tefal,электрические чайники стеклянный tefal,Tefal,Tefal,59,brand_in_query,1.0,1.0,10,1,True,False,False,high,,1.0,NO_BRAND
электрическая панель bosch,Электрическая панель bosch,NO_BRAND,Bosch,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Bosch
встроенная посудомоечная машина krona 60,встроенная посудомоечная машина krona 60,Krona,Krona,36,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND
игровые ноутбуки msi,игровые ноутбуки msi,NO_BRAND,MSI,65,category_only,1.0,1.0,47,1,True,False,True,special,,1.0,MSI
вентилятор напольный для дома,вентилятор напольный для дома,UNKNOWN,Ballu,66,ambiguous_clicks,0.3338763445248048,0.9,7,7,False,False,False,special,Ami,0.0,NO_BRAND
холодильники side side,холодильники side side,UNKNOWN,Liebherr,66,ambiguous_clicks,0.404001421825014,0.9,4,4,False,False,False,special,Kuppersberg,0.062154064896155985,NO_BRAND
кронштейн для кондиционера,кронштейн для кондиционера,UNKNOWN,Рэмо,66,ambiguous_clicks,0.39682539682539675,0.9,12,4,False,False,False,special,Ballu,0.039682539682539646,NO_BRAND
умная розетка яндекс,умная розетка яндекс,NO_BRAND,Яндекс,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Яндекс
термощуп,термощуп,UNKNOWN,Kitfort,66,ambiguous_clicks,0.4285714285714286,0.9,3,3,False,False,False,special,Levenhuk,0.1428571428571429,NO_BRAND
наушники беспроводные полноразмерные sony,наушники беспроводные полноразмерные sony,Sony,Sony,55,brand_in_query,1.0,1.0,3,1,True,False,False,high,,1.0,NO_BRAND
candy smart pro,candy smart pro,NO_BRAND,Candy,65,category_only,1.0,1.0,2,1,True,False,True,special,,1.0,Candy
встраиваемая индукционная плита на 4,встраиваемая индукционная плита на 4,UNKNOWN,Haier,66,ambiguous_clicks,0.3482662324175103,0.9,18,13,False,False,False,special,Gorenje,0.154044716135977,NO_BRAND
раковина,раковина,NO_BRAND,Orange,65,category_only,0.3817607310699685,1.0,23,8,False,False,True,special,Stella Polar,0.17627606789259564,UNKNOWN
варочная панель индукционная kuppersberg,варочная панель индукционная kuppersberg,NO_BRAND,Kuppersberg,65,category_only,1.0,1.0,12,1,True,False,True,special,,1.0,Kuppersberg
сковорода hi кованый,сковорода hi кованый,Hi,Hi,28,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND
магнитная зарядка apple,магнитная зарядка apple,UNKNOWN,WALKER,66,ambiguous_clicks,0.47297297297297297,0.9,3,3,False,False,False,special,Apple,0.18918918918918917,Apple
духовка шкаф gorenje,Духовка шкаф gorenje,NO_BRAND,Gorenje,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Gorenje
встраиваемая варочная панель индукционная electrolux,встраиваемая варочная панель индукционная electrolux,Electrolux,Electrolux,21,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND
tcl сплит система,tcl сплит система,NO_BRAND,TCL,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,TCL
кофеварка капельная redmond cm704,Кофеварка капельная REDMOND CM704,Redmond,Redmond,50,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND
weissgauff wes плита электрическая,weissgauff wes плита электрическая,UNKNOWN,Weissgauff,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND
блендер стационарный hi hb207,Блендер стационарный Hi HB207,Hi,Hi,28,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND
dyson вертикальный моющий,dyson вертикальный моющий,NO_BRAND,Dyson,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Dyson
стиральная машинка electrolux,стиральная машинка electrolux,NO_BRAND,Electrolux,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Electrolux
встраиваемый духовой шкаф gorenje,встраиваемый духовой шкаф gorenje,NO_BRAND,Gorenje,65,category_only,1.0,1.0,2,1,True,False,True,special,,1.0,Gorenje
моноблок msi pro,моноблок msi pro,NO_BRAND,MSI,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,MSI
отпариватель mie,отпариватель mie,UNKNOWN,Mie,66,ood_brand_surface,1.0,0.9,3,1,True,False,False,special,,1.0,NO_BRAND
оперативная память ddr4 16 gb,оперативная память ddr4 16gb,UNKNOWN,KingSpec,66,ambiguous_clicks,0.49740932642487046,0.9,5,3,False,False,False,special,Netac,0.077720207253886,NO_BRAND
светильник напольный торшер moderli diy,"Светильник напольный, торшер Moderli DIY",UNKNOWN,Moderli,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND
музыкальный центр sony,музыкальный центр sony,NO_BRAND,Sony,65,category_only,1.0,1.0,2,1,True,False,True,special,,1.0,Sony
очиститель воздуха приточный ballu oneair asp- 200,Очиститель воздуха приточный Ballu ONEAIR ASP- 200,Ballu,Ballu,6,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND
посудомоечные машины electrolux,посудомоечные машины electrolux,NO_BRAND,Electrolux,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Electrolux
духовой шкаф candy,духовой шкаф candy,NO_BRAND,Candy,65,category_only,1.0,1.0,4,1,True,False,True,special,,1.0,Candy
яндекс plus подписки,яндекс plus подписки,NO_BRAND,Яндекс,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Яндекс
набор кухонных ножей taller,Набор кухонных ножей TalleR,TalleR,TalleR,57,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND
стиральная машинка beko,стиральная машинка beko,NO_BRAND,Beko,65,category_only,1.0,1.0,31,1,True,False,True,special,,1.0,Beko
накладные наушники jbl,Накладные наушники jbl,NO_BRAND,JBL,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,JBL
беспроводной пылесос gorenje,беспроводной пылесос gorenje,NO_BRAND,Gorenje,65,category_only,1.0,1.0,2,1,True,False,True,special,,1.0,Gorenje
смарт приставка sber,смарт приставка sber,NO_BRAND,Sber,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Sber
встраиваемый холодильник candy,встраиваемый холодильник candy,NO_BRAND,Candy,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Candy
встраиваемая варочная панель электрическая gorenje,встраиваемая варочная панель электрическая gorenje,Gorenje,Gorenje,23,brand_in_query,1.0,1.0,5,1,True,False,False,high,,1.0,NO_BRAND
инверторный кондиционер royal,инверторный кондиционер royal,NO_BRAND,Royal Clima,65,category_only,1.0,1.0,1,1,False,False,True,special,,1.0,UNKNOWN
стиральная сушильная машинка beko г,стиральная сушильная машинка beko  г,Beko,Beko,8,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND
сушильная машина midea,сушильная машина midea,NO_BRAND,Midea,65,category_only,1.0,1.0,9,1,True,False,True,special,,1.0,Midea
пылесос моющий dreame,Пылесос моющий dreame,NO_BRAND,Dreame,65,category_only,1.0,1.0,2,1,True,False,True,special,,1.0,Dreame
powerbank,Powerbank,UNKNOWN,Deppa,66,ambiguous_clicks,0.4743340892207907,0.9,20,8,False,False,False,special,Aukey,0.2862974733312058,NO_BRAND
фен dreame mini,фен dreame mini,NO_BRAND,Dreame,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Dreame
сковорода hi кованный mvnkklgr 128 28 cv,сковорода hi (кованный)MVNKKLGR 128 28cv,Hi,Hi,28,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,UNKNOWN
bosch диск терка,bosch диск терка,NO_BRAND,Bosch,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Bosch
вертикальный беспроводной пылесос dreame,вертикальный беспроводной пылесос dreame,NO_BRAND,Dreame,65,category_only,0.8346700374731445,1.0,20,2,True,False,True,special,Dreame Trouver,0.669340074946289,Dreame
холодильники уцененные,холодильники уцененные,UNKNOWN,Indesit,66,ambiguous_clicks,0.3404954213297054,0.9,18,9,False,False,False,special,Hi,0.06960271195985306,NO_BRAND
варочная панель газовая homsair hgg323 gcbk,Варочная панель газовая HOMSAir HGG323GCBK,UNKNOWN,HOMSAir,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND
морозильная камера maunfeld,Морозильная камера MAUNFELD,NO_BRAND,Maunfeld,65,category_only,1.0,1.0,2,1,True,False,True,special,,1.0,Maunfeld
армед рециркулятор,армед рециркулятор,UNKNOWN,АРМЕД,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND
калонка,Калонка,UNKNOWN,Blackton,66,ambiguous_clicks,0.34084649096220226,0.9,13,8,False,False,False,special,JBL,0.14563440977475914,NO_BRAND
измерить умное кольцо sber,измерить умное кольцо sber,Sber,Sber,53,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND
миксер ручной gorenje,миксер ручной gorenje,NO_BRAND,Gorenje,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Gorenje
вытяжка кухонная островная meferi,Вытяжка кухонная островная MEFERI,UNKNOWN,MEFERI,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND
газовая варочная поверхность встраиваемая midea,газовая варочная поверхность встраиваемая midea,Midea,Midea,42,brand_in_query,1.0,1.0,2,1,True,False,False,high,,1.0,NO_BRAND
варочная панель индукционная bosch,варочная панель индукционная bosch,NO_BRAND,Bosch,65,category_only,1.0,1.0,7,1,True,False,True,special,,1.0,Bosch
1. asus rog hyperion gr701 btf edition корпус пк,1. ASUS ROG Hyperion GR701 BTF Edition корпус пк,ASUS,GIGABYTE,0,alias_hint,1.0,1.0,1,1,False,True,False,high,,1.0,UNKNOWN
king вентилятор,King вентилятор,UNKNOWN,King,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND
часы elari,Часы Elari,UNKNOWN,Elari,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND
очиститель-увлажнитель воздуха dyson ph05 purifier humidify cool ph2 de nox белый золотой,Очиститель-увлажнитель воздуха Dyson PH05 Purifier Humidify + Cool PH2 De-NOx (Белый/Золотой),Dyson,Dyson,20,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,UNKNOWN
электрические чайники gorenje,электрические чайники gorenje,NO_BRAND,Gorenje,65,category_only,1.0,1.0,6,1,True,False,True,special,,1.0,Gorenje
kuppersberg газовая панель,Kuppersberg газовая панель,NO_BRAND,Kuppersberg,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Kuppersberg
чехол на iphone14 pro,чехол на iphone14 pro,UNKNOWN,Deppa,66,ambiguous_clicks,0.44164037854889593,0.9,4,4,False,False,False,special,Koss Market,0.0,Apple
фотокамера sony беззеркальный,фотокамера sony беззеркальный,Sony,Sony,55,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND
кабель lightning type c,кабель lightning type c,UNKNOWN,Baseus,66,ambiguous_clicks,0.42806619766544457,0.9,14,8,False,False,False,special,Rock,0.2585562747803813,NO_BRAND
27 монитор lg ultragear 27gs60 qc b 2560x1440 va 180 гц 2хhdmi 1 хdp изогнутый фиолетовый 27gs60 qc b.aruq,"27"" Монитор LG UltraGear 27GS60QC-B,  2560x1440,  VA,  180Гц,  2хHDMI,  1хDP,  изогнутый, фиолетовый [27gs60qc-b.aruq]",LG,LG,38,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,UNKNOWN
пылесос моющий вертикальный trouver к30,пылесос моющий вертикальный trouver к30,UNKNOWN,Trouver,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND
беспроводной вертикальный моющий пылесос roborock,беспроводной вертикальный моющий пылесос roborock,UNKNOWN,Roborock,66,ood_brand_surface,1.0,0.9,5,1,True,False,False,special,,1.0,NO_BRAND
sony playstation 4 игры,sony playstation 4 игры,UNKNOWN,Playstation,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,Sony
кондиционер мобильный hisense,кондиционер мобильный hisense,NO_BRAND,Hisense,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Hisense
maunfeld вытяжка кухонная thames 601 pm полновстраиваемая рециркуляционная,"MAUNFELD Вытяжка кухонная THAMES 601PM, полновстраиваемая рециркуляционная",Maunfeld,Maunfeld,41,brand_in_query,1.0,1.0,2,1,True,False,False,high,,1.0,NO_BRAND
вентилятор напольный centek ct-5026 диаметр 43 см 3 скорости мощность 55 вт устойчивая платформа черный,"Вентилятор напольный Centek CT-5026 диаметр 43см, 3 скорости, мощность 55Вт, устойчивая платформа, чёрный",Centek,Centek,15,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND
встраиваемая техника,встраиваемая техника,UNKNOWN,Kuppersberg,66,ambiguous_clicks,0.3442028985507246,0.9,6,6,False,False,False,special,Gressel,0.11473429951690822,NO_BRAND
сетевой фильтр с предохранителем,сетевой фильтр с предохранителем,UNKNOWN,ARTSTYLE,66,ambiguous_clicks,0.21820259418508045,0.9,14,10,False,False,False,special,ЭРА,0.03896474896162152,NO_BRAND
плита beraum,плита beraum,UNKNOWN,Beraum,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND
клавиатура logitech pro,клавиатура logitech pro,NO_BRAND,Logitech,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Logitech
кондиционер сплит ballu,кондиционер сплит ballu,NO_BRAND,Ballu,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Ballu
внешний аккумулятор power bank baseus pico go ultra,внешний аккумулятор power bank Baseus pico Go ultra,Baseus,Baseus,7,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND
тройник agni,тройник agni,UNKNOWN,AGNI,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND
пылесосы вертикальные karcher,пылесосы вертикальные karcher,NO_BRAND,Karcher,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Karcher
колонки урал,колонки урал,UNKNOWN,Урал,66,ood_brand_surface,1.0,0.9,1,1,True,False,False,special,,1.0,NO_BRAND
кондиционер сплит система инверторный centek,кондиционер сплит система инверторный centek,Centek,Centek,15,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND
планетарный миксер с тестомесильной redmond,планетарный миксер с тестомесильной redmond,Redmond,Redmond,50,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND
наушники jbl детские,наушники jbl детские,NO_BRAND,JBL,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,JBL
встраиваемая свч gorenje,встраиваемая свч gorenje,NO_BRAND,Gorenje,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Gorenje
газовая плита с газовой,газовая плита с газовой,UNKNOWN,Darina,66,ambiguous_clicks,0.4959888385071503,0.9,3,3,False,False,False,special,Gefest,0.02755493547261948,NO_BRAND
восстановленный смартфон apple,восстановленный смартфон apple,NO_BRAND,Apple,65,category_only,1.0,1.0,7,1,True,False,True,special,,1.0,Apple
вертикальный пылесос carrera,вертикальный пылесос carrera,NO_BRAND,Carrera,65,category_only,1.0,1.0,4,1,True,False,True,special,,1.0,Carrera
кусторез,Кусторез,UNKNOWN,Tabi,66,ambiguous_clicks,0.4974950346849407,0.9,7,7,False,False,False,special,NR,0.2763861303805226,NO_BRAND
посудомоечная машина компактная midea маленькая,посудомоечная машина компактная midea маленькая,Midea,Midea,42,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,NO_BRAND
стиральная машина узкая lg,стиральная машина узкая lg,NO_BRAND,LG,65,category_only,1.0,1.0,3,1,True,False,True,special,,1.0,LG
утюг с автоотключением,утюг с автоотключением,NO_BRAND,Polaris,65,category_only,0.41275920645456543,1.0,15,7,False,False,True,special,Tefal,0.01617846021726241,UNKNOWN
сотейник,сотейник,UNKNOWN,REGENT inox,66,ambiguous_clicks,0.4740602004795564,0.9,7,7,False,False,False,special,Mayer&Boch,0.2708915431311751,NO_BRAND
стиральная машина gorenje wd2pa854 adw c с фронтальной загрузкой 8 кг 1400 об мин с паром с сушкой инверторная,"Стиральная машина Gorenje WD2PA854ADW/C, с фронтальной загрузкой, 8кг, 1400об/мин, с паром, с сушкой, инверторная",Gorenje,Gorenje,23,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,UNKNOWN
встраиваемая микроволновка midea,встраиваемая микроволновка midea,NO_BRAND,Midea,65,category_only,1.0,1.0,2,1,True,False,True,special,,1.0,Midea
кабель lightning baseus,кабель lightning baseus,NO_BRAND,Baseus,65,category_only,1.0,1.0,2,1,True,False,True,special,,1.0,Baseus
морозильная камера beko,морозильная камера beko,NO_BRAND,Beko,65,category_only,1.0,1.0,12,1,True,False,True,special,,1.0,Beko
планетарный миксер с тестомесильной,планетарный миксер с тестомесильной,UNKNOWN,Redmond,66,ambiguous_clicks,0.13339351637968225,0.9,67,27,False,False,False,special,Moulinex,0.00405434756194789,NO_BRAND
фен щетка braun,Фен щетка braun,NO_BRAND,Braun,65,category_only,1.0,1.0,1,1,True,False,True,special,,1.0,Braun
внешний аккумулятор magsafe 10000,внешний аккумулятор magsafe 10000,UNKNOWN,Baseus,66,ambiguous_clicks,0.4649365962625514,0.9,10,5,False,False,False,special,Deppa,0.22433692018993256,NO_BRAND
картридж к фильтру для очистки воды philips,картридж к фильтру для очистки воды philips,Philips,Philips,46,brand_in_query,1.0,1.0,1,1,True,False,False,high,,1.0,UNKNOWN
яндекс станция мини,яндекс станция мини,NO_BRAND,Яндекс,65,category_only,0.8498754648742707,1.0,15,2,True,False,True,special,EMBODIMENT,0.6997509297485413,Яндекс
игровые ноутбуки acer,игровые ноутбуки acer,UNKNOWN,Acer,66,ood_brand_surface,1.0,0.9,4,1,True,True,False,special,,1.0,NO_BRAND
наушники беспроводные realme,наушники беспроводные realme,NO_BRAND,realme,65,category_only,1.0,1.0,4,1,True,False,True,special,,1.0,realme
батарейки,батарейки,NO_BRAND,GP,65,category_only,0.31549413571080737,1.0,47,15,False,False,True,special,Carrera,0.15336607462182517,UNKNOWN
